epoch,TP,FP,TN,FN,TPR,FPR,Precision,num_filtered,num_filtered_benign
0,0,3,4,3,0.0,0.42857142857142855,0.0,3,3
1,2,0,7,1,0.6666666666666666,0.0,1.0,2,0
2,2,2,5,1,0.6666666666666666,0.2857142857142857,0.5,4,2
3,3,3,4,0,1.0,0.42857142857142855,0.5,6,3
4,2,2,5,1,0.6666666666666666,0.2857142857142857,0.5,4,2
5,2,1,6,1,0.6666666666666666,0.14285714285714285,0.6666666666666666,3,1
6,3,0,7,0,1.0,0.0,1.0,3,0
7,2,0,7,1,0.6666666666666666,0.0,1.0,2,0
8,3,1,6,0,1.0,0.14285714285714285,0.75,4,1
9,3,0,7,0,1.0,0.0,1.0,3,0
10,3,1,6,0,1.0,0.14285714285714285,0.75,4,1
11,3,2,5,0,1.0,0.2857142857142857,0.6,5,2
12,3,0,7,0,1.0,0.0,1.0,3,0
13,3,1,6,0,1.0,0.14285714285714285,0.75,4,1
14,2,0,7,1,0.6666666666666666,0.0,1.0,2,0
15,3,3,4,0,1.0,0.42857142857142855,0.5,6,3
16,2,0,7,1,0.6666666666666666,0.0,1.0,2,0
17,3,1,6,0,1.0,0.14285714285714285,0.75,4,1
18,3,1,6,0,1.0,0.14285714285714285,0.75,4,1
19,0,2,5,3,0.0,0.2857142857142857,0.0,2,2
20,3,0,7,0,1.0,0.0,1.0,3,0
21,3,0,7,0,1.0,0.0,1.0,3,0
22,3,1,6,0,1.0,0.14285714285714285,0.75,4,1
23,3,1,6,0,1.0,0.14285714285714285,0.75,4,1
24,2,0,7,1,0.6666666666666666,0.0,1.0,2,0
25,3,0,7,0,1.0,0.0,1.0,3,0
26,2,0,7,1,0.6666666666666666,0.0,1.0,2,0
27,3,1,6,0,1.0,0.14285714285714285,0.75,4,1
28,1,1,6,2,0.3333333333333333,0.14285714285714285,0.5,2,1
29,3,0,7,0,1.0,0.0,1.0,3,0
30,3,1,6,0,1.0,0.14285714285714285,0.75,4,1
31,3,0,7,0,1.0,0.0,1.0,3,0
32,3,0,7,0,1.0,0.0,1.0,3,0
33,3,0,7,0,1.0,0.0,1.0,3,0
34,2,0,7,1,0.6666666666666666,0.0,1.0,2,0
35,3,0,7,0,1.0,0.0,1.0,3,0
36,3,0,7,0,1.0,0.0,1.0,3,0
37,3,0,7,0,1.0,0.0,1.0,3,0
38,3,0,7,0,1.0,0.0,1.0,3,0
39,3,2,5,0,1.0,0.2857142857142857,0.6,5,2
40,3,0,7,0,1.0,0.0,1.0,3,0
41,3,0,7,0,1.0,0.0,1.0,3,0
42,2,0,7,1,0.6666666666666666,0.0,1.0,2,0
43,3,0,7,0,1.0,0.0,1.0,3,0
44,2,0,7,1,0.6666666666666666,0.0,1.0,2,0
45,3,0,7,0,1.0,0.0,1.0,3,0
46,3,1,6,0,1.0,0.14285714285714285,0.75,4,1
47,3,0,7,0,1.0,0.0,1.0,3,0
48,2,0,7,1,0.6666666666666666,0.0,1.0,2,0
49,3,1,6,0,1.0,0.14285714285714285,0.75,4,1
50,3,0,7,0,1.0,0.0,1.0,3,0
51,3,1,6,0,1.0,0.14285714285714285,0.75,4,1
52,3,0,7,0,1.0,0.0,1.0,3,0
53,3,0,7,0,1.0,0.0,1.0,3,0
54,3,4,3,0,1.0,0.5714285714285714,0.42857142857142855,7,4
55,1,1,6,2,0.3333333333333333,0.14285714285714285,0.5,2,1
56,2,0,7,1,0.6666666666666666,0.0,1.0,2,0
57,3,1,6,0,1.0,0.14285714285714285,0.75,4,1
58,3,0,7,0,1.0,0.0,1.0,3,0
59,3,0,7,0,1.0,0.0,1.0,3,0
60,3,0,7,0,1.0,0.0,1.0,3,0
61,2,0,7,1,0.6666666666666666,0.0,1.0,2,0
62,3,0,7,0,1.0,0.0,1.0,3,0
63,3,1,6,0,1.0,0.14285714285714285,0.75,4,1
64,3,1,6,0,1.0,0.14285714285714285,0.75,4,1
65,3,0,7,0,1.0,0.0,1.0,3,0
66,3,0,7,0,1.0,0.0,1.0,3,0
67,3,1,6,0,1.0,0.14285714285714285,0.75,4,1
68,3,2,5,0,1.0,0.2857142857142857,0.6,5,2
69,3,3,4,0,1.0,0.42857142857142855,0.5,6,3
70,2,0,7,1,0.6666666666666666,0.0,1.0,2,0
71,3,0,7,0,1.0,0.0,1.0,3,0
72,3,1,6,0,1.0,0.14285714285714285,0.75,4,1
73,3,1,6,0,1.0,0.14285714285714285,0.75,4,1
74,2,2,5,1,0.6666666666666666,0.2857142857142857,0.5,4,2
75,3,0,7,0,1.0,0.0,1.0,3,0
76,2,0,7,1,0.6666666666666666,0.0,1.0,2,0
77,2,0,7,1,0.6666666666666666,0.0,1.0,2,0
78,3,0,7,0,1.0,0.0,1.0,3,0
79,3,0,7,0,1.0,0.0,1.0,3,0
80,3,0,7,0,1.0,0.0,1.0,3,0
81,3,0,7,0,1.0,0.0,1.0,3,0
82,3,0,7,0,1.0,0.0,1.0,3,0
83,3,0,7,0,1.0,0.0,1.0,3,0
84,3,0,7,0,1.0,0.0,1.0,3,0
85,3,0,7,0,1.0,0.0,1.0,3,0
86,3,0,7,0,1.0,0.0,1.0,3,0
87,3,0,7,0,1.0,0.0,1.0,3,0
88,3,0,7,0,1.0,0.0,1.0,3,0
89,2,0,7,1,0.6666666666666666,0.0,1.0,2,0
90,3,0,7,0,1.0,0.0,1.0,3,0
91,3,1,6,0,1.0,0.14285714285714285,0.75,4,1
92,2,0,7,1,0.6666666666666666,0.0,1.0,2,0
93,3,0,7,0,1.0,0.0,1.0,3,0
94,3,0,7,0,1.0,0.0,1.0,3,0
95,3,0,7,0,1.0,0.0,1.0,3,0
96,3,0,7,0,1.0,0.0,1.0,3,0
97,3,0,7,0,1.0,0.0,1.0,3,0
98,3,1,6,0,1.0,0.14285714285714285,0.75,4,1
99,3,0,7,0,1.0,0.0,1.0,3,0
