epoch,benign_indices,malicious_indices
0,"1;2;3;6;7;8;9","0;4;5"
1,"0;1;2;3;5;7;8;9","4;6"
2,"0;1;2;3;4;5;6;8","7;9"
3,"0;2;3;4;5;6;8","1;7;9"
4,"0;1;2;3;4;5;6;8","7;9"
5,"0;2;3;5;6","1;4;7;8;9"
6,"0;1;2;4;5;8","3;6;7;9"
7,"0;1;2;3;6;9","4;5;7;8"
8,"0;3;6;8;9","1;2;4;5;7"
9,"0;1;2;3;4;5;6;9","7;8"
10,"0;2;4;9","1;3;5;6;7;8"
11,"1;2;3;4;5;6","0;7;8;9"
12,"0;1;2;3;4;5;6;8","7;9"
13,"0;1;2;3;4;5;6","7;8;9"
14,"0;1;4;5;6;9","2;3;7;8"
15,"0;1;2;3;4;5;6;9","7;8"
16,"0;1;2;3;4;5;6","7;8;9"
17,"0;2;3;5;7;9","1;4;6;8"
18,"0;1;2;3;5","4;6;7;8;9"
19,"2;3;4;5;6;7","0;1;8;9"
20,"0;3;5;6;7;8;9","1;2;4"
21,"0;1;2;3;5;6;8","4;7;9"
22,"0;1;4","2;3;5;6;7;8;9"
23,"0;1;2;3;4;5;6","7;8;9"
24,"0;1;2;3;4;5;6;9","7;8"
25,"0;1;2;4;6","3;5;7;8;9"
26,"1;2;3;4;5;6","0;7;8;9"
27,"0;1;2;3;4;6;9","5;7;8"
28,"0;1;3;4;6;9","2;5;7;8"
29,"0;1;2;3;4;5;6;9","7;8"
30,"0;1;2;5;6;9","3;4;7;8"
31,"0;1;3;4;6;7;8","2;5;9"
32,"0;2;3;4;6;7;8","1;5;9"
33,"0;1;2;3;4;5;6;9","7;8"
34,"0;3;5;6;7;9","1;2;4;8"
35,"0;1;2;3;4;5;6","7;8;9"
36,"3;4;6;8","0;1;2;5;7;9"
37,"0;1;2;3;4;6;7;9","5;8"
38,"0;1;2;3;4;5;6;9","7;8"
39,"0;1;3;4;6;7","2;5;8;9"
40,"0;1;2;3;4;5;6;9","7;8"
41,"1;3;4;5;7;9","0;2;6;8"
42,"0;5;6;8","1;2;3;4;7;9"
43,"0;1;3;4;6;9","2;5;7;8"
44,"0;3;4;5;6;9","1;2;7;8"
45,"0;1;3;4;6;7;8","2;5;9"
46,"1;3;5;6;8;9","0;2;4;7"
47,"0;1;2;7;9","3;4;5;6;8"
48,"0;2;3;4;6;7;8;9","1;5"
49,"0;3;4;5;6;8;9","1;2;7"
50,"2;3;4;6;7;8","0;1;5;9"
51,"0;1;2;3;4;6;9","5;7;8"
52,"0;1;2;3;4;5;6;9","7;8"
53,"2;3;5;6;7;9","0;1;4;8"
54,"0;2;3;4;6","1;5;7;8;9"
55,"0;1;2;3;6;9","4;5;7;8"
56,"0;1;2;4;5;6;7","3;8;9"
57,"0;1;2;3;4;9","5;6;7;8"
58,"0;2;3;6;7;9","1;4;5;8"
59,"0;1;2;4;6;7;8;9","3;5"
60,"0;2;3;4;9","1;5;6;7;8"
61,"0;2;3;4;6;8;9","1;5;7"
62,"0;2;6;9","1;3;4;5;7;8"
63,"0;3;6;7;8;9","1;2;4;5"
64,"0;1;3;5;6;8;9","2;4;7"
65,"1;2;4;5;6;7;9","0;3;8"
66,"1;2;3;6;7;8","0;4;5;9"
67,"0;1;2;5;6;7;9","3;4;8"
68,"0;1;2;4;5;6;7;9","3;8"
69,"0;3;4;5;6;9","1;2;7;8"
70,"0;2;3;4;6;8;9","1;5;7"
71,"1;2;3;4;5;9","0;6;7;8"
72,"3;4;5;6;7;8;9","0;1;2"
73,"2;3;6;7;8;9","0;1;4;5"
74,"0;1;2;3;4;6;9","5;7;8"
75,"0;3;4;6;7;9","1;2;5;8"
76,"0;1;2;3;4;5;7","6;8;9"
77,"0;2;3;4;6;7;8;9","1;5"
78,"0;2;3;4;6;7;8;9","1;5"
79,"3;6;7;8;9","0;1;2;4;5"
80,"0;3;4;6;7;8;9","1;2;5"
81,"0;1;2;4;5;7;8;9","3;6"
82,"1;6;8","0;2;3;4;5;7;9"
83,"0;2;3;4;5;6;7;8","1;9"
84,"0;1;2;3;4;6;8;9","5;7"
85,"2;8;9","0;1;3;4;5;6;7"
86,"0;1;2;3;4;5;6;9","7;8"
87,"0;1;2;3;5;6;9","4;7;8"
88,"2;3;4;5;6;7;8;9","0;1"
89,"0;2;3;4;6;8;9","1;5;7"
90,"3;5;7;8;9","0;1;2;4;6"
91,"2;4;6;8;9","0;1;3;5;7"
92,"2;3;4;6;8;9","0;1;5;7"
93,"0;1;2;3;4;6;7;8","5;9"
94,"0;2;5;7;8;9","1;3;4;6"
95,"0;2;3;4;5;7;8;9","1;6"
96,"0;3;4;5;6;7;8;9","1;2"
97,"0;2;3;6;7;8;9","1;4;5"
98,"0;2;5;6;8;9","1;3;4;7"
99,"0;4;5;6;7;8;9","1;2;3"
