phase,x_type,slice,metric,mean_delta,pos_ratio
前10轮,I,head,V_all,-0.0001553263635114057,0.2
前10轮,I,head,V_loo,-0.00019176093205931552,0.2
前10轮,I,head,cos_all,-0.10139380920500984,0.1
前10轮,I,head,cos_loo,-0.07370204819100246,0.1
前10轮,I,head,norm,-0.46999942908684406,0.1
前10轮,I,last_block,V_all,-7.793820516542925e-07,0.4
前10轮,I,last_block,V_loo,-9.622000702403879e-07,0.4
前10轮,I,last_block,cos_all,-0.09761809224174134,0.1
前10轮,I,last_block,cos_loo,-0.09490323861440023,0.0
前10轮,I,last_block,norm,-0.09209153996337027,0.4
前10轮,g,head,V_all,8.951100573453716e-06,0.7
前10轮,g,head,V_loo,1.1050755537802436e-05,0.7
前10轮,g,head,cos_all,0.41950565163445264,0.9
前10轮,g,head,cos_loo,0.4319609987843294,0.9
前10轮,g,head,norm,0.20946102085567658,0.9
前10轮,g,last_block,V_all,3.4435781604510598e-06,0.9
前10轮,g,last_block,V_loo,4.251331457843271e-06,0.9
前10轮,g,last_block,cos_all,0.36098287510020394,0.9
前10轮,g,last_block,cos_loo,0.36108304341212805,0.9
前10轮,g,last_block,norm,0.19864827678317118,0.9
前10轮,gI,head,V_all,0.01818233491642223,0.2
前10轮,gI,head,V_loo,0.02244732919193449,0.2
前10轮,gI,head,cos_all,-0.17212719726154493,0.1
前10轮,gI,head,cos_loo,-0.0943754946630049,0.1
前10轮,gI,head,norm,-1.7512073894341789,0.2
前10轮,gI,last_block,V_all,-9.763927439940918e-07,0.3
前10轮,gI,last_block,V_loo,-1.2054228585882462e-06,0.3
前10轮,gI,last_block,cos_all,0.0999731901855696,0.6
前10轮,gI,last_block,cos_loo,0.13978169152535322,0.7
前10轮,gI,last_block,norm,-0.03076693578844978,0.3
前50轮,I,head,V_all,-0.0005168835095745245,0.04
前50轮,I,head,V_loo,-0.0006381277944767913,0.04
前50轮,I,head,cos_all,-0.043734638293584205,0.36
前50轮,I,head,cos_loo,0.01511772529000327,0.54
前50轮,I,head,norm,-0.9515900536378225,0.02
前50轮,I,last_block,V_all,-2.596030997806121e-06,0.1
前50轮,I,last_block,V_loo,-3.204976603358643e-06,0.1
前50轮,I,last_block,cos_all,-0.1107970881745929,0.28
前50轮,I,last_block,cos_loo,-0.08958794619355881,0.28
前50轮,I,last_block,norm,-0.19180538597738456,0.18
前50轮,g,head,V_all,-2.1479497469651195e-05,0.42
前50轮,g,head,V_loo,-2.6517897550504474e-05,0.42
前50轮,g,head,cos_all,0.054871018359304545,0.54
前50轮,g,head,cos_loo,0.10509466577820215,0.56
前50轮,g,head,norm,-0.0024081101020177087,0.48
前50轮,g,last_block,V_all,-4.600315298289172e-07,0.48
前50轮,g,last_block,V_loo,-5.679402117190576e-07,0.48
前50轮,g,last_block,cos_all,0.08913954051521916,0.58
前50轮,g,last_block,cos_loo,0.11044735259648102,0.62
前50轮,g,last_block,norm,0.0255364417462122,0.48
前50轮,gI,head,V_all,-0.006674469168785783,0.04
前50轮,gI,head,V_loo,-0.008240084773639128,0.04
前50轮,gI,head,cos_all,-0.44288882889169545,0.02
前50轮,gI,head,cos_loo,-0.28571745441367274,0.02
前50轮,gI,head,norm,-4.186200768450895,0.04
前50轮,gI,last_block,V_all,-5.655860928375962e-06,0.08
前50轮,gI,last_block,V_loo,-6.982544351677417e-06,0.08
前50轮,gI,last_block,cos_all,-0.09664774200080763,0.36
前50轮,gI,last_block,cos_loo,0.022395856064256457,0.58
前50轮,gI,last_block,norm,-0.18222215873322317,0.08
后50轮,I,head,V_all,-0.0011283485481371393,0.0
后50轮,I,head,V_loo,-0.001393022898811891,0.0
后50轮,I,head,cos_all,0.04471121455941882,0.7
后50轮,I,head,cos_loo,0.10962795304400581,0.92
后50轮,I,head,norm,-1.5163358532034215,0.0
后50轮,I,last_block,V_all,-5.733095396126807e-06,0.06
后50轮,I,last_block,V_loo,-7.077895605843445e-06,0.06
后50轮,I,last_block,cos_all,-0.056229428081285386,0.3
后50轮,I,last_block,cos_loo,-0.029857291011583253,0.42
后50轮,I,last_block,norm,-0.2665287884892452,0.06
后50轮,g,head,V_all,-0.00010230187637110552,0.0
后50轮,g,head,V_loo,-0.0001262986122414337,0.0
后50轮,g,head,cos_all,-0.2479187919141813,0.24
后50轮,g,head,cos_loo,-0.13375004746108538,0.28
后50轮,g,head,norm,-0.23356665245124275,0.0
后50轮,g,last_block,V_all,-7.092247157873187e-06,0.0
后50轮,g,last_block,V_loo,-8.755860471865161e-06,0.0
后50轮,g,last_block,cos_all,-0.21975899364621865,0.08
后50轮,g,last_block,cos_loo,-0.14257290750769674,0.3
后50轮,g,last_block,norm,-0.1742417150452023,0.0
后50轮,gI,head,V_all,-0.017842368696860615,0.0
后50轮,gI,head,V_loo,-0.022027615461210227,0.0
后50轮,gI,head,cos_all,-0.5444799944815515,0.0
后50轮,gI,head,cos_loo,-0.3622983091238088,0.0
后50轮,gI,head,norm,-5.7216098512070515,0.0
后50轮,gI,last_block,V_all,-1.2161027415394137e-05,0.02
后50轮,gI,last_block,V_loo,-1.5013613770601556e-05,0.02
后50轮,gI,last_block,cos_all,-0.1598295472350548,0.18
后50轮,gI,last_block,cos_loo,-0.034761254904470185,0.44
后50轮,gI,last_block,norm,-0.28112545361121494,0.02
全部,I,head,V_all,-0.0008226160288558322,0.02
全部,I,head,V_loo,-0.0010155753466443416,0.02
全部,I,head,cos_all,0.0004882881329173122,0.53
全部,I,head,cos_loo,0.06237283916700455,0.73
全部,I,head,norm,-1.2339629534206218,0.01
全部,I,last_block,V_all,-4.164563196966464e-06,0.08
全部,I,last_block,V_loo,-5.1414361046010445e-06,0.08
全部,I,last_block,cos_all,-0.08351325812793915,0.29
全部,I,last_block,cos_loo,-0.05972261860257104,0.35
全部,I,last_block,norm,-0.22916708723331491,0.12
全部,g,head,V_all,-6.189068692037836e-05,0.21
全部,g,head,V_loo,-7.640825489596908e-05,0.21
全部,g,head,cos_all,-0.0965238867774384,0.39
全部,g,head,cos_loo,-0.01432769084144162,0.42
全部,g,head,norm,-0.11798738127663022,0.24
全部,g,last_block,V_all,-3.7761393438510515e-06,0.24
全部,g,last_block,V_loo,-4.66190034179211e-06,0.24
全部,g,last_block,cos_all,-0.06530972656549974,0.33
全部,g,last_block,cos_loo,-0.016062777455607868,0.46
全部,g,last_block,norm,-0.07435263664949508,0.24
全部,gI,head,V_all,-0.012258418932823199,0.02
全部,gI,head,V_loo,-0.01513385011742468,0.02
全部,gI,head,cos_all,-0.4936844116866233,0.01
全部,gI,head,cos_loo,-0.32400788176874074,0.01
全部,gI,head,norm,-4.953905309828974,0.02
全部,gI,last_block,V_all,-8.908444171885052e-06,0.05
全部,gI,last_block,V_loo,-1.0998079061139488e-05,0.05
全部,gI,last_block,cos_all,-0.12823864461793122,0.27
全部,gI,last_block,cos_loo,-0.006182699420106864,0.51
全部,gI,last_block,norm,-0.23167380617221908,0.05
